country_name_ltn,fintight,pct_in_gap,pct_not_in_gap,pct_0_barriers,pct_1_barrier,pct_2_barrier,pct_3_barriers,pct_4_barriers,pct_solution_barrier_barrier_1,pct_solution_barrier_barrier_2,pct_solution_barrier_barrier_3,pct_dcf_barrier_barrier_1,pct_dcf_barrier_barrier_2,pct_dcf_barrier_barrier_3,pct_info_barrier_barrier_1,pct_info_barrier_barrier_2,pct_info_barrier_barrier_3,pct_representation_barrier_barrier_1,pct_representation_barrier_barrier_2,pct_representation_barrier_barrier_3
Austria,0,68.23204419889503,31.767955801104975,15.340909090909092,28.40909090909091,38.63636363636363,14.772727272727273,2.840909090909091,0,20.588235294117645,57.692307692307686,28.000000000000004,55.88235294117647,84.61538461538461,57.99999999999999,86.76470588235294,100,14.000000000000002,36.76470588235294,57.692307692307686
Austria,1,75.09727626459144,24.90272373540856,5.555555555555555,33.33333333333333,35.18518518518518,19.444444444444446,6.481481481481481,11.11111111111111,21.052631578947366,71.42857142857143,25,57.89473684210527,90.47619047619048,36.11111111111111,89.47368421052632,95.23809523809523,27.77777777777778,31.57894736842105,42.857142857142854
Belgium,0,67.6148796498906,32.38512035010941,8.791208791208792,23.076923076923077,46.15384615384615,19.78021978021978,2.197802197802198,4.761904761904762,19.047619047619047,72.22222222222221,14.285714285714285,66.66666666666666,83.33333333333334,57.14285714285714,88.09523809523809,100,23.809523809523807,26.190476190476193,44.44444444444444
Belgium,1,66.45161290322581,33.5483870967742,2.3255813953488373,30.23255813953488,37.2093023255814,25.581395348837212,4.651162790697675,0,18.75,63.63636363636363,15.384615384615385,50,81.81818181818183,53.84615384615385,100,100,30.76923076923077,31.25,54.54545454545454
Bulgaria,0,55.26315789473685,44.73684210526316,31.57894736842105,21.052631578947366,26.31578947368421,21.052631578947366,0,0,0,50,25,60,75,75,100,100,0,40,75
Bulgaria,1,68.44919786096256,31.550802139037433,3.4482758620689653,37.93103448275862,37.93103448275862,17.24137931034483,3.4482758620689653,9.090909090909092,9.090909090909092,40,18.181818181818183,36.36363636363637,100,54.54545454545454,100,100,18.181818181818183,54.54545454545454,60
Croatia,0,70.14563106796116,29.85436893203883,11.25,30,40,16.25,2.5,4.166666666666666,21.875,69.23076923076923,16.666666666666664,50,92.3076923076923,70.83333333333334,90.625,92.3076923076923,8.333333333333332,37.5,46.15384615384615
Croatia,1,69.3820224719101,30.61797752808989,1.7857142857142856,17.857142857142858,55.35714285714286,21.428571428571427,3.571428571428571,0,16.129032258064516,75,0,45.16129032258064,91.66666666666666,70,93.54838709677419,100,30,45.16129032258064,33.33333333333333
Cyprus,0,69.5364238410596,30.4635761589404,0,38.095238095238095,33.33333333333333,23.809523809523807,4.761904761904762,12.5,14.285714285714285,40,25,28.57142857142857,100,37.5,85.71428571428571,100,25,71.42857142857143,60
Cyprus,1,73.20574162679426,26.794258373205743,12.5,32.5,35,20,0,0,0,12.5,7.6923076923076925,50,100,53.84615384615385,92.85714285714286,100,38.46153846153847,57.14285714285714,87.5
Czechia,0,76.3758389261745,23.624161073825505,4.6875,32.03125,45.3125,15.625,2.34375,9.75609756097561,22.413793103448278,75,4.878048780487805,27.586206896551722,80,75.60975609756098,94.82758620689656,100,9.75609756097561,55.172413793103445,45
Czechia,1,75.92592592592592,24.074074074074073,1.6666666666666667,26.666666666666668,38.333333333333336,30,3.3333333333333335,18.75,4.3478260869565215,61.111111111111114,18.75,39.130434782608695,94.44444444444444,56.25,100,100,6.25,56.52173913043478,44.44444444444444
Denmark,0,66.32443531827515,33.67556468172484,14.492753623188406,36.231884057971016,26.08695652173913,20.28985507246377,2.898550724637681,12,27.77777777777778,92.85714285714286,8,50,78.57142857142857,64,77.77777777777779,100,16,44.44444444444444,28.57142857142857
